	#SampleID	ID	GROUP
0	10A	10A	OB-BPD/DS 
1	10B	10B	OB-BPD/DS 
2	10C	10C	OB-BPD/DS 
3	10D	10D	OB-BPD/DS 
4	10F	10F	OB-BPD/DS 
5	11A	11A	CHJ-BPD/DS+
6	11B	11B	CHJ-BPD/DS+
7	11C	11C	CHJ-BPD/DS+
8	11D	11D	CHJ-BPD/DS+
9	11F	11F	CHJ-BPD/DS+
10	12A	12A	CHJ-BPD/DS+
11	12B	12B	CHJ-BPD/DS+
12	12C	12C	CHJ-BPD/DS+
13	12D	12D	CHJ-BPD/DS+
14	12F	12F	CHJ-BPD/DS+
15	13A	13A	CHJ-BPD/DS+
16	13C	13C	CHJ-BPD/DS+
17	13D	13D	CHJ-BPD/DS+
18	13F	13F	CHJ-BPD/DS+
19	14A	14A	CHJ-BPD/DS+
20	14B	14B	CHJ-BPD/DS+
21	14C	14C	CHJ-BPD/DS+
22	14D	14D	CHJ-BPD/DS+
23	14F	14F	CHJ-BPD/DS+
24	15A	15A	CHJ-BPD/DS+
25	15B	15B	CHJ-BPD/DS+
26	15C	15C	CHJ-BPD/DS+
27	15D	15D	CHJ-BPD/DS+
28	16A	16A	CHJ-BPD/DS+
29	16B	16B	CHJ-BPD/DS+
30	16C	16C	CHJ-BPD/DS+
31	16D	16D	CHJ-BPD/DS+
32	16F	16F	CHJ-BPD/DS+
33	18A	18A	CHJ-BPD/DS+
34	18B	18B	CHJ-BPD/DS+
35	18C	18C	CHJ-BPD/DS+
36	18D	18D	CHJ-BPD/DS+
37	18F	18F	CHJ-BPD/DS+
38	19A	19A	CHJ-BPD/DS+
39	19B	19B	CHJ-BPD/DS+
40	19C	19C	CHJ-BPD/DS+
41	19D	19D	CHJ-BPD/DS+
42	20A	20A	CHJ-BPD/DS+
43	20B	20B	CHJ-BPD/DS+
44	20C	20C	CHJ-BPD/DS+
45	20D	20D	CHJ-BPD/DS+
46	20F	20F	CHJ-BPD/DS+
47	21A	21A	CHJ-BPD/DS+
48	21B	21B	CHJ-BPD/DS+
49	21C	21C	CHJ-BPD/DS+
50	21F	21F	CHJ-BPD/DS+
51	22A	22A	CHJ-BPD/DS-
52	22B	22B	CHJ-BPD/DS-
53	22C	22C	CHJ-BPD/DS-
54	22D	22D	CHJ-BPD/DS-
55	22F	22F	CHJ-BPD/DS-
56	23A	23A	CHJ-BPD/DS-
57	23B	23B	CHJ-BPD/DS-
58	23C	23C	CHJ-BPD/DS-
59	23D	23D	CHJ-BPD/DS-
60	23F	23F	CHJ-BPD/DS-
61	24A1	24A1	CHJ-BPD/DS-
62	24B	24B	CHJ-BPD/DS-
63	24D	24D	CHJ-BPD/DS-
64	24F	24F	CHJ-BPD/DS-
65	25A	25A	CHJ-BPD/DS-
66	25B	25B	CHJ-BPD/DS-
67	25C	25C	CHJ-BPD/DS-
68	25F	25F	CHJ-BPD/DS-
69	26A	26A	CHJ-BPD/DS-
70	26B	26B	CHJ-BPD/DS-
71	26C	26C	CHJ-BPD/DS-
72	26D	26D	CHJ-BPD/DS-
73	26F	26F	CHJ-BPD/DS-
74	27A	27A	CHJ-BPD/DS-
75	27B	27B	CHJ-BPD/DS-
76	27C	27C	CHJ-BPD/DS-
77	27D	27D	CHJ-BPD/DS-
78	28A	28A	CHJ-BPD/DS-
79	28B	28B	CHJ-BPD/DS-
80	28C	28C	CHJ-BPD/DS-
81	28D	28D	CHJ-BPD/DS-
82	28F	28F	CHJ-BPD/DS-
83	29A	29A	CN/SD 
84	29C	29C	CN/SD 
85	29D1	29D1	CN/SD 
86	30A	30A	CN/SD 
87	30B	30B	CN/SD 
88	30C	30C	CN/SD 
89	30D	30D	CN/SD 
90	30F	30F	CN/SD 
91	31A	31A	CN/SD 
92	31B	31B	CN/SD 
93	31C	31C	CN/SD 
94	31D	31D	CN/SD 
95	31F	31F	CN/SD 
96	32A	32A	CN/SD 
97	32B	32B	CN/SD 
98	32C	32C	CN/SD 
99	32D1	32D1	CN/SD 
100	32F	32F	CN/SD 
101	33A	33A	CN/SD 
102	33B	33B	CN/SD 
103	33C	33C	CN/SD 
104	33D	33D	CN/SD 
105	33F	33F	CN/SD 
106	34A	34A	CN/SD 
107	34B	34B	CN/SD 
108	34C	34C	CN/SD 
109	34D	34D	CN/SD 
110	35A	35A	CN/SD 
111	35B	35B	CN/SD 
112	35C	35C	CN/SD 
113	35D	35D	CN/SD 
114	3A	3A	OB-BPD/DS 
115	3B	3B	OB-BPD/DS 
116	3C	3C	OB-BPD/DS 
117	3D	3D	OB-BPD/DS 
118	3F	3F	OB-BPD/DS 
119	4A	4A	OB-BPD/DS 
120	4B	4B	OB-BPD/DS 
121	4C	4C	OB-BPD/DS 
122	4D	4D	OB-BPD/DS 
123	4F	4F	OB-BPD/DS 
124	6A	6A	OB-BPD/DS 
125	6B	6B	OB-BPD/DS 
126	6C	6C	OB-BPD/DS 
127	6D	6D	OB-BPD/DS 
128	6F	6F	OB-BPD/DS 
129	7A	7A	OB-BPD/DS 
130	7B	7B	OB-BPD/DS 
131	7C	7C	OB-BPD/DS 
132	7D	7D	OB-BPD/DS 
